name,link,actual_price,old_price,id,brand
"METRO Chef Сыр Чеддар 50%, ~2.5кг",/products/metro-chef-cheddar-50-25kg,939,,metro-chef-cheddar-50-25kg,METRO CHEF
"Сыр Schonfeld Гауда полутвердый нарезка 45%, 125г",/products/125g-syr-gauda-45-schonfeld-narezka-bzmzh,149,186,125g-syr-gauda-45-schonfeld-narezka-bzmzh,SCHONFELD
"Сыр Cheese Gallery Гауда полутвердый 45%, 200г",/products/cheese-gallery-gauda-kusok-200g,179,253,cheese-gallery-gauda-kusok-200g,CHEESE GALLERY
"METRO Chef Сыр Мраморный полутвердый, ~1кг",/products/1kg-45-metro-chef-mramornyj-brus-bzmzh,949,,1kg-45-metro-chef-mramornyj-brus-bzmzh,METRO CHEF
"Сыр Белебеевский полутвердый 45%, 190г",/products/belebeevskij-45-190g,229,,belebeevskij-45-190g,БЕЛЕБЕЕВСКИЙ
"Сыр Киприно Швейцарский полутвердый нарезка 50%, 125г",/products/shvejcarskij-kiprino-50-125-g-narezka-bzmzh,214.01,,shvejcarskij-kiprino-50-125-g-narezka-bzmzh,КИПРИНО
"Сыр Сваля Тильзитер нарезка 45%, 125г",/products/125g-syr-tilziter-45-svalya-narezka-bzmzh,185,,125g-syr-tilziter-45-svalya-narezka-bzmzh,СВАЛЯ
"Сыр Киприно Мастер полутвердый 50%, ~1.5кг",/products/master-kiprino-15kg-bzmzh,1179,,master-kiprino-15kg-bzmzh,КИПРИНО
"Сыр Viola Бутербродный полутвердый нарезка 45%, 120г",/products/120g-syr-45-viola-buterbrodnyy-narezka-bzmzh,153,,120g-syr-45-viola-buterbrodnyy-narezka-bzmzh,VIOLA
"Сыр Viola Голландский полутвердый нарезка 45%, 270г",/products/270g-syr-45-viola-gollandskiy-narezka-bzmzh,369,,270g-syr-45-viola-gollandskiy-narezka-bzmzh,VIOLA
"Сыр Viola Российский полутвердый нарезка 50%, 120г",/products/120g-syr-50-viola-rossiyskiy-narezka-bzmzh,182,,120g-syr-50-viola-rossiyskiy-narezka-bzmzh,VIOLA
"Сыр Laplandia Эдам полутвердый 45%, 180г",/products/180g-syr-edam-45-laplandia-kusok-bzmzh,319,,180g-syr-edam-45-laplandia-kusok-bzmzh,LAPLANDIA
"Сыр Jalo Kerma сливочный нарезка, 140г",/products/slivochnyj-jalo-kerma-140-g-v-narezke,149,183,slivochnyj-jalo-kerma-140-g-v-narezke,JALO KERMA
"METRO Chef Сыр чеддер 50%, 500г",/products/500g-syr-50-metro-chef-chedder-bzmzh,669,,500g-syr-50-metro-chef-chedder-bzmzh,METRO CHEF
"Сыр Schonfeld Швейцарский Турмезан полутвердый нарезка 52%, 125г",/products/schonfeld-swiss-thurmesan-narezka-52-125g-bzmzh,459,,schonfeld-swiss-thurmesan-narezka-52-125g-bzmzh,SCHONFELD
"Сыр Киприно Гауда полутвердый 45%, 200г",/products/200g-syr-gauda-45-kiprino-kusok-bzmzh,249,,200g-syr-gauda-45-kiprino-kusok-bzmzh,КИПРИНО
"Сыр Ларец топленое молоко 45%, 245г",/products/245g-syr-45-zolotoy-larets-toplenoe-moloko-bzmzh,359,,245g-syr-45-zolotoy-larets-toplenoe-moloko-bzmzh,ЛАРЕЦ
"Сыр Радость вкуса Маасдам Gold полутвердый 45%, 180г",/products/180g-syr-maasdam-45-radost-vkusa-gold-bzmzh,215,229,180g-syr-maasdam-45-radost-vkusa-gold-bzmzh,РАДОСТЬ ВКУСА
"Сыр Laplandia Сливочный полутвердый нарезка 45%, 130г",/products/130g-syr-45-laplandia-slivochnyy-narezka-bzmzh,179,217,130g-syr-45-laplandia-slivochnyy-narezka-bzmzh,LAPLANDIA
